job_category,seniority_level,F_statistic,p_value,Significance
"""Other""",executive,0.2942882798313754,0.5877174787470183,
"""Other""",junior,0.8184589004978694,0.3657379061999466,
"""Other""",medior,1.2539738228562975,0.2631805788389057,
"""Other""",senior,3.1096976180527323,0.07813124322980018,
Architects,executive,0.7037386462278565,0.4982480298082662,
Architects,junior,0.5015295648717277,0.5017228094238498,
Architects,medior,2.793321112373071,0.07140469978032625,
Architects,senior,45.959761740103886,3.2099533102621563e-19,*
Business Analyst,medior,0.012943066295983461,0.9095910418086659,
Consultant,junior,0.2505806782656579,0.628678636681424,
Consultant,medior,1.0706576638330685,0.31032574843195365,
Consultant,senior,0.02608105982912654,0.8721611935000886,
Data Analyst,executive,3.9371691298810783,0.020826043842255785,*
Data Analyst,junior,1.1122262580572677,0.3289543381250829,
Data Analyst,medior,11.0381615622885,1.7117452169128497e-05,*
Data Analyst,senior,9.341387326635866,9.063911438920964e-05,*
Data Engineer,executive,0.8443211288093093,0.43089573302197814,
Data Engineer,junior,0.20254616615191895,0.8167014371697143,
Data Engineer,medior,3.312440802969881,0.036736047027034265,*
Data Engineer,senior,50.36186291882602,3.1770644236647024e-22,*
Data Scientist/ ML Engineer,executive,4.390069348759373,0.012550054044515695,*
Data Scientist/ ML Engineer,junior,4.077297082147464,0.01701524906316844,*
Data Scientist/ ML Engineer,medior,7.2843452159542155,0.0006930181700417761,*
Data Scientist/ ML Engineer,senior,4.428711900822529,0.011952014647319157,*
Database Dev & Admin,medior,0.205932007457517,0.8143661127245262,
Database Dev & Admin,senior,0.48218457471993376,0.6187319152333988,
DevOps Engineer,junior,1.6682944833800315,0.2208109995001742,
DevOps Engineer,medior,0.3797422364648127,0.5401115992782753,
DevOps Engineer,senior,1.518129022426126,0.2198180047756281,
Leaders,executive,15.476220572395796,0.00011040897183700573,*
Leaders,medior,0.4347758191179329,0.5148572335948347,
Leaders,senior,10.223470151868083,0.0017357576629514985,*
Other Engineers,medior,0.5230390127261763,0.5969217419279128,
Other Engineers,senior,0.011514663726442862,0.9885533033546604,
Other managers,executive,7.095436581311907,0.008817732196292128,*
Other managers,junior,3.342252173968118,0.10492884291099268,
Other managers,medior,0.01578131574248084,0.9001409837225606,
Other managers,senior,0.9144112864566275,0.3398149310075467,
Out of scope,executive,0.08204994252338627,0.7749679603675999,
Out of scope,medior,0.2065355928149345,0.6508090394487085,
Out of scope,senior,0.005014047102947996,0.9436124845412255,
Project managers,executive,2.3458003820933198,0.12635127587524028,
Project managers,junior,1.7074377098193514,0.19174912486852339,
Project managers,medior,4.497048090367879,0.011680955929300808,*
Project managers,senior,9.440596599634842,8.770592258537364e-05,*
Researcher,medior,7.494321532557746,0.0169350330303646,*
Researcher,senior,0.0034620808868952723,0.953808609132837,
Software Engineer,executive,7.119602175457962,0.007764970534209296,*
Software Engineer,junior,1.47312237382957,0.22946378597686226,
Software Engineer,medior,8.987938127715601,0.00013159448277804995,*
Software Engineer,senior,19.202890138267747,5.285716726969277e-09,*
Too vague answers,junior,0.39692563967188804,0.6725053047726677,
Too vague answers,medior,1.0843400737374396,0.33932646986627585,
Too vague answers,senior,1.2801036601017264,0.27934488469439683,
Uncategorized,medior,0.9195099936722014,0.35187083601342445,
Uncategorized,senior,1.711445002783765,0.2200685941722717,
